Player_Name,Hard_ELO,Clay_ELO,Grass_ELO,Player_age,Games_played
Sebastian Decoud,1500.0,1500.741425793034,1499.3280229092204,44.7,8
Uladzimir Ignatik,1501.5489308196811,1497.896222839717,1500.0,36.1,28
Daniel Vallejo,1500.0,1500.0,1500.0,39.6,2
Gregoire Barrere,1444.23096411421,1466.456401323156,1512.734209447855,29.9,98
Lucky Candra Kurniawan,1492.6616968259755,1500.0,1500.0,20.7,1
Soren Wedege,1500.0,1500.3505250229048,1500.0,34.8,1
Chak Lam Coleman Wong,1500.0,1500.0,1500.0,19.5,1
Anas Fattar,1500.0,1499.602353500076,1500.0,36.8,1
Nicolas Moreno De Alboran,1450.7782310800294,1500.0,1500.0,26.5,12
Leandro Riedi,1486.1522043980892,1472.1405270931796,1500.0,22.0,9
Andrei Stoliarov,1495.9404585965297,1497.258167713235,1497.9067376332027,47.4,84
Marco Aurelio Nunez,1500.0,1499.625424484218,1500.0,31.4,1
Barry Cowan,1497.975156757649,1499.875063174675,1498.4085625537493,49.8,18
Pedro Cachin,1415.7530109748589,1580.3202877432357,1469.989211133346,29.0,70
Jui Chen Hung,1500.0152229632179,1500.0,1500.0,33.9,8
Sean Karam,1500.0,1499.85,1500.0,55.0,1
Andrey Dernovskiy,1499.8754106164508,1499.3511082626542,1500.0,42.1,8
Mariusz Fyrstenberg,1499.6741060827615,1498.5185794685983,1500.0,49.5,12
Adrian Andreev,1482.4600975190915,1500.0,1500.0,22.6,9
Kyle Edmund,1454.7540407092674,1447.3105399453652,1494.6949593947393,30.2,247
Ramin Raziyani,1499.8750162267304,1500.1999999999998,1500.0,49.9,7
Jose Roberto Velasco,1499.6993094028435,1499.4500891668508,1500.0,37.0,5
David Wheaton,1499.199998417341,1500.0,1499.999539483185,55.2,4
Jan Vacek,1488.3624795452483,1496.1189391434157,1499.6339478781804,48.0,89
Yuttana Charoenphon,1507.5,1500.0,1500.0,24.0,1
George Tsivadze,1499.3644200309966,1499.2784007130635,1500.0,31.6,4
Alexey Kedryuk,1501.8829707531795,1500.4509031562018,1500.0,43.9,27
Nikos Rovas,1500.0,1500.174825261392,1500.0,47.5,5
Pablo Llamas Ruiz,1500.0,1502.4673704063146,1500.0,21.2,8
Wolfgang Schranz,1500.0,1499.9986195165495,1500.0,48.3,2
Jeff Coetzee,1500.0,1500.0,1499.547788871601,47.1,1
Thiago Agustin Tirante,1512.3362603918094,1500.6797312260812,1500.0,22.8,9
Cesar Ramirez,1499.5494273042289,1498.9011007918446,1500.0,36.1,18
Arthur Fils,1593.571095353869,1596.8387364305024,1437.3517386788383,19.7,69
Rodrigo Crespo Piedra,1499.5819847818502,1500.0,1500.0,22.6,2
Daniel Chavez Morales,1499.9000287823128,1500.0,1500.0,58.1,1
Oscar Hernandez,1481.1444715051439,1487.9680107022884,1493.0126367947694,45.9,190
Ian Flanagan,1500.0,1500.0,1500.5222654983245,42.3,3
Alan Mackin,1499.0215454213596,1498.3684209397672,1495.624098954623,43.4,13
Carlos Taberner,1458.0794602418541,1416.0855273942564,1470.7150927580833,28.6,38
Ivan Dodig,1488.653995571014,1495.0358518392645,1500.741131681723,39.5,258
Rudolfs Mednis,1498.640787734445,1500.0,1500.0,26.0,4
Devin Mullings,1499.8636894155597,1499.626263663506,1500.0,38.4,14
Andis Juska,1498.0256427325469,1500.7383033943995,1500.0,39.6,27
Bohdan Ulihrach,1497.447792151375,1495.3557568844544,1494.833000252095,49.3,177
Pruchya Isarow,1501.3480216186913,1500.0,1500.0,28.9,14
Jonathan Erlich,1500.1781469671832,1500.0,1499.5730880877115,47.4,10
Mattia Bellucci,1461.713394012055,1500.0,1500.0,22.6,1
Liam Caruana,1497.1624037079287,1500.0,1500.0,25.9,4
Jared Donaldson,1496.8689538912859,1492.1709086026392,1499.0059614627023,27.3,113
Daniel Windahl,1499.411426043709,1500.0,1500.0,27.6,2
Matthew Foster Estwick,1492.1786763072466,1500.0,1500.0,27.0,2
Juan Carlos Saez,1500.0,1501.4224032931284,1500.0,33.1,3
Ricardo Rodriguez,1499.7965361493973,1499.981789105109,1500.0,34.3,32
Karim Mohamed Maamoun,1499.8296057604398,1496.6670841499365,1500.0,33.4,13
Niki Kaliyanda Poonacha,1500.0,1500.0,1500.0,28.7,1
Harri Heliovaara,1498.3197678403062,1498.9049209672785,1500.0,36.7,21
Tallon Griekspoor,1640.025918662952,1460.8341199788492,1561.3610260436178,27.6,154
James Mccabe,1500.0,1500.0,1500.0,20.5,2
Michael Ray Pallares Gonzalez,1500.2,1500.0,1500.0,43.3,1
