Player_Name,Hard_ELO,Clay_ELO,Grass_ELO,Player_age
Raul Brancaccio,1490.1609979504153,1487.7012474380192,1490.1609979504153,26.0
Jan Lennard Struff,1489.7598742645089,1511.9609403212053,1493.5495265608856,32.9
Nicolas Kicker,1459.106111000309,1454.5565284750098,1459.97816482595,34.5
Harshana Godamanna,1501.0296187670895,1500.9863178441922,1500.895971827236,37.3
Andrea Arnaboldi,1475.9849096065457,1476.1118486200567,1475.3279981725448,38.0
Julian Saborio,1496.9615924308048,1497.569273944644,1497.569273944644,26.3
Alexander Blockx,1500.0,1500.0,1500.0,18.5
Michael Venus,1480.071584634195,1483.4092966200612,1483.7692805574472,40.2
Janis Podzus,1497.5648016078117,1497.889100337535,1497.9795119757098,29.0
Jose Hernandez,1492.1100314871715,1489.5794670984185,1491.8619993713735,33.9
Shahin Khaledan,1498.3482130433983,1498.8424555703675,1498.7514082727846,33.6
Kaipo Marshall,1491.5449213861623,1493.2359371089296,1493.2359371089296,21.4
Peter Bertran,1500.3093031827138,1500.3684124691024,1500.3012069563626,27.5
Filip Krajinovic,1614.111807522334,1624.343703190209,1605.233283274302,31.1
Timofey Skatov,1460.0641675497127,1468.0513340397704,1468.0513340397704,22.3
Ajeet Rai,1495.700691997088,1496.5605535976704,1496.5605535976704,27.6
Pierre Hugues Herbert,1473.5112086302674,1466.4126734575084,1468.8415582687328,32.6
Jurabek Karimov,1501.8515132493562,1501.803282536525,1501.624353682614,25.2
Alejandro Davidovich Fokina,1582.3576944700126,1607.7021118435507,1575.630796406135,23.8
Darko Bojanovic,1498.870826814044,1499.0966614512351,1499.0966614512351,26.5
Thomas Fancutt,1487.1333863309665,1489.7067090647733,1489.7067090647733,27.9
Norbert Gombos,1400.8559416807939,1426.450957853655,1410.180580052942,32.6
Jared Donaldson,1486.6108212975566,1481.843872491043,1486.374352245431,26.3
Max Hans Rehberg,1478.893219808028,1473.616524760035,1478.893219808028,19.5
Pedro Sakamoto,1495.3217474288704,1494.152184286088,1495.3217474288704,29.6
Miloslav Mecir Jr,1496.442025660869,1496.1665242058225,1496.7149110518628,35.7
Ignacio Garcia,1494.3495867085421,1495.4796693668338,1495.4796693668338,27.7
Marvin Moeller,1498.0320017556924,1497.5400021946155,1498.0320017556924,24.4
Lleyton Cronje,1496.8713652802353,1496.0892066002941,1496.8713652802353,22.9
Spencer Newman,1499.176322181003,1499.3410577448024,1499.3410577448024,29.7
Ryan Shane,1496.518139144269,1497.2145113154152,1497.2145113154152,29.3
Viktor Durasovic,1439.4776329129456,1451.0420124528805,1451.3420646070338,26.4
Egor Gerasimov,1488.9687034997746,1483.0539896250878,1489.7926366390054,30.8
Giovani Samaha,1499.6376882350817,1499.547110293852,1499.6376882350817,28.9
Brian Shi,1491.130919493595,1492.904735594876,1492.904735594876,22.9
Soren Hess Olesen,1499.1713871002498,1499.3371096801998,1499.3371096801998,32.0
Hans Hach Verdugo,1499.9990119529323,1499.9992095623456,1499.9992095623456,33.2
Chris Guccione,1498.9254275030876,1498.9254275030876,1498.6567843788596,37.8
Chun Hun Wong,1497.7830198078602,1498.2264158462883,1498.2264158462883,27.4
Dominik Koepfer,1474.0573813011563,1487.8238021504762,1467.1879620238117,29.4
David Goffin,1554.5211231618619,1604.675293317531,1600.3366635070554,32.3
Yshai Oliel,1471.9063410378512,1477.3241695609943,1477.4357824883757,23.6
Luis Patino,1494.2560925880603,1494.5979508976495,1495.0462415492043,32.4
Peter Gojowczyk,1409.7199720343574,1400.4951067353172,1415.726897213106,33.7
Juho Paukku,1499.3311730775074,1499.4649384620059,1499.4649384620059,36.6
Gonzalo Bueno,1500.0,1500.0,1500.0,19.4
Facundo Diaz Acosta,1482.590707139526,1478.2383839244078,1482.590707139526,22.4
Nicolai Budkov Kjaer,1500.0,1500.0,1500.0,17.0
Thiago Monteiro,1476.6809750812988,1484.1934441414687,1470.635710067375,28.8
Alexander Donski,1497.4465306422683,1497.9572245138147,1497.9572245138147,24.5
Jordi Samper Montana,1492.827969349056,1491.03496168632,1492.827969349056,33.0
Mate Pavic,1494.0949350843896,1494.7571309061052,1494.1086094543468,33.2
Roger Federer,1847.8691938732802,1800.0428159488745,1820.3647924792385,41.8
Takuto Niki,1498.1796153852576,1498.5436923082061,1498.5436923082061,35.9
Daniel Gimeno Traver,1465.611337860591,1469.5545047157932,1467.8225774918021,39.7
Skyler Butts,1501.115650800742,1500.8925206405938,1500.8925206405938,29.3
David Souto,1499.1320038531965,1498.7098256491797,1499.0408131121671,34.0
Gilles Kremer,1499.2362635825925,1499.2494448731418,1499.326981535882,41.6
Dac Tien Nguyen,1499.388796884078,1499.5110375072625,1499.5110375072625,24.5
Jack Sock,1532.3253457587298,1529.513086621567,1536.057942605007,30.5
Alexey Vatutin,1469.9181180577805,1470.9719384882617,1473.7289140204632,35.4
Mahammad Abid,1498.000914943709,1498.1754048681719,1498.3005865830582,28.6
Anoosha Shahgholi,1498.3612344707656,1498.5259042944288,1498.6165061178642,41.2
Matteo Donati,1500.3001328316197,1500.3751660395246,1500.3001328316197,28.1
Alex Fairbanks,1499.1137400271627,1498.8921750339537,1499.1137400271627,26.9
Eero Vasa,1503.0706883346538,1502.4565506677231,1502.4565506677231,26.6
Mattias Siimar,1496.3153387453954,1497.0522709963163,1497.0522709963163,25.6
Di Wu,1478.9792162500978,1482.5772108070855,1482.9139675809706,32.0
Danylo Kalenichenko,1499.3626554644584,1499.4901243715667,1499.4901243715667,29.6
Juan Carlos Saez,1501.0846609962534,1501.3558262453168,1501.0846609962534,32.1
Pablo Cuevas,1444.0067793163953,1490.0680605721213,1457.1774140650962,37.3
Francesco Maestrelli,1489.740037290337,1491.7920298322697,1491.7920298322697,20.8
Abdullah Maqdas,1499.0134575690142,1499.2099642017458,1499.2104096758933,37.8
Marc Lopez,1499.5297950526449,1499.135856894421,1499.4069564209183,41.1
Alex Michelsen,1500.0,1500.0,1500.0,19.0
Jui Chen Hung,1500.116948577662,1500.0935588621296,1500.0935588621296,32.9
Milos Raonic,1697.5380646900528,1678.6835029245349,1687.0596364110502,32.4
Nicolas Mejia,1483.3252749877647,1487.661710848585,1487.1053270383777,23.5
Ilya Ivashka,1659.3710636251194,1635.3987485920497,1652.9406467865829,29.1
Marinko Matosevic,1476.4618111953876,1476.2098859010553,1478.3268593950993,37.6
Mischa Zverev,1428.6346584253276,1430.5440500490713,1441.3249955008032,36.5
Alexander Ritschard,1486.9109424671803,1487.9912901469943,1486.457074407311,29.0
Matthias Bachinger,1493.509511579602,1490.879210569529,1492.4204461660338,37.7
Edris Fetisleam,1501.115650800742,1500.8925206405938,1500.8925206405938,23.6
Ante Pavic,1490.5400995174325,1490.7103224571536,1491.1762294954308,34.9
Ethan Quinn,1500.0,1500.0,1500.0,19.4
Peter Nagy,1499.105853749715,1499.2220618388521,1499.2568513726965,33.8
Giulio Zeppieri,1490.5981682754702,1495.1478837092034,1493.6649119931883,21.4
Vasek Pospisil,1552.4517314281734,1522.162022755793,1525.2770053707102,33.2
Roberto Ortega Olmedo,1497.9957047275523,1497.4946309094405,1497.9957047275523,32.0
Camilo Ugo Carabelli,1515.7054007630443,1519.6317509538055,1515.7054007630443,23.6
